Rack,Date_Time,Alarm
MUW,2017-12-13 14:30:08,Low Conductivity
MUW,2017-12-15 03:08:55,Low Conductivity
MUW,2017-12-15 09:04:00,Low Conductivity
MUW,2017-12-15 10:06:56,Low Conductivity
MUW,2017-12-15 11:09:07,Low Conductivity
MUW,2017-12-20 16:34:16,Low Conductivity
MUW,2018-01-31 11:38:48,Low Conductivity
MUW,2018-03-15 13:26:18,System Manually Stopped
MUW,2018-05-10 13:15:07,Low Conductivity
MUW,2018-05-16 12:25:08,Low Conductivity
MUW,2018-05-24 09:43:54,Low Conductivity
MUW,2018-06-01 11:05:28,Low Conductivity
MUW,2018-07-28 19:25:02,High Water Level
MUW,2018-08-01 20:21:50,Low pH
MUW,2018-08-01 21:40:09,High Conductivity CO
MUW,2018-08-03 13:19:08,Low Conductivity
MUW,2018-08-09 15:00:34,Low Conductivity
MUW,2018-08-09 16:02:45,Low Conductivity
MUW,2018-08-09 16:26:55,Low Conductivity
MUW,2018-08-19 17:44:37,Low Flow CO
MUW,2018-11-08 12:50:09,High pH CO
MUW,2018-11-08 13:51:11,Low Conductivity
MUW,2018-11-08 14:53:58,High Conductivity
MUW,2018-11-20 10:22:43,Low Conductivity
MUW,2018-12-06 12:18:05,Low Conductivity
MUW,2018-12-10 14:55:07,Low Conductivity
MUW,2018-12-19 10:23:43,Low Conductivity
MUW,2019-01-23 10:37:40,Low Conductivity
MUW,2019-01-28 13:26:30,Low Conductivity
MUW,2019-01-28 15:39:04,Low Conductivity
MUW,2019-03-04 09:28:38,Low Conductivity
MUW,2019-03-14 13:46:10,High pH CO
MUW,2019-03-17 00:46:17,Low Conductivity
MUW,2019-03-17 01:21:37,Low Conductivity
MUW,2019-03-17 10:48:56,High pH
MUW,2019-03-18 02:45:39,High pH
MUW,2019-03-19 13:10:10,Low Water Level
MUW,2019-03-19 14:13:16,Low Water Level
MUW,2019-04-15 13:25:08,Low Conductivity
MUW,2019-05-24 14:05:19,Low Conductivity
MUW,2019-06-10 17:35:51,Low Conductivity
MUW,2019-07-05 16:09:25,High pH
MUW,2019-07-05 18:32:20,High pH
MUW,2019-07-06 10:16:14,High pH CO
MUW,2019-10-03 13:59:39,Low Water Level
MUW,2019-10-16 13:12:25,Low Conductivity
MUW,2019-10-16 14:45:14,Low Conductivity
MUW,2019-10-22 14:00:50,High pH CO
MUW,2019-11-01 15:17:11,System Manually Stopped
MUW,2019-11-03 15:52:51,Low Flow CO
MUW,2019-12-04 12:59:44,Low Conductivity
MUW,2019-12-04 14:31:59,Low Conductivity
MUW,2019-12-17 15:14:43,High pH CO
MUW,2020-12-19 15:56:43,Low Conductivity
MUW,2021-01-31 10:05:56,Low Conductivity
MUW,2021-02-06 13:41:13,High pH CO
MUW,2021-03-14 09:59:50,Low Flow CO
MUW,2021-03-14 10:00:25,Low Flow CO
MUW,2021-03-14 10:00:56,High Water Level
MUW,2021-03-14 10:01:29,High Water Level CO
MUW,2021-03-14 11:58:03,Low Flow CO
MUW,2021-04-01 20:29:22,Low Conductivity
MUW,2021-07-12 17:41:58,Low Conductivity
MUW,2021-07-30 22:30:13,High Temperature
MUW,2021-07-31 10:37:41,High Temperature
MUW,2021-07-31 11:42:33,High Temperature
MUW,2021-12-16 17:21:32,Low Conductivity
MUW,2017-02-12 14:42:22,System Manually Stopped
MUW,2017-02-12 15:47:15,System Manually Stopped
MUW,2017-02-12 16:07:44,System Manually Stopped
MUW,2017-03-13 21:00:28,Inspect Cond Dosing Pump
MUW,2017-03-25 21:05:18,High pH
MUW,2017-03-30 10:53:25,High Temperature
MUW,2017-04-29 17:37:51,Inspect Cond Dosing Pump
MUW,2017-06-27 21:07:18,Low Conductivity
MUW,2017-06-27 22:17:15,Low Conductivity
MUW,2017-06-28 21:08:13,High pH
MUW,2017-06-28 21:41:25,High pH
MUW,2017-07-22 21:13:18,High pH
